"","species_common.x","species_latin","Family","Qu.1","RationaleQu1","Qu.2","RationaleQu.2","Qu.3","RationaleQu.3","Qu.4","RationaleQu.4","Global environmental risk","AISR_Listing","Secondary_Assessment","Science_Support","Notes.x","species_common.y","taxa","listed_elsewhere","pet_aquarium","Aquaculture","rec_fish","biofouler","Bilge Water","water_garden","possible_to_overwinter","suitable_hab_suspected","Notes.y"
"109","Killer Shrimp","Dikerogammarus villosus","Gammaridae",3,"This species is noted as highly invasive in Europe. It is possible that D. villosus would be introduced to the Great Lakes in Canada via ballast water transfers, from which point the species could spread to other provinces. It is unlikely that a primary introduction to NS via ballast water would result in establishment. However, the species may survive brackish conditions and so, introductions to the upper St. Lawerence would also be concerning. Furthermore, this species naturally migrates and may spread up to 40km/year (Mastitsky 2009).",3,"Due to the species ability to under take long mitgrations, it is expected that afetr an initial introduction D. villosus would continuously spread in NS (and throughout Canada) (Mastitsky 2009). D. villosus may hitchhike on fishing gear or unclean boats to new water bodies and become established.",3,"This species is an aggressive predator of invertebrates, amphipods, fish eggs, and even larval fish. Additionally, D. villosus can filter feed on microalgae. D. villosus presence significant alters food webs through a bootom up approach and may even lead to extinction of some native amphipods.",2,"Because D. villosus frequently disrupts food webs and completely replaces both native and non-native amphiods, it is likely that the species impacts on ecosystem function are irreversible. However, no literature was located in this assessment that specified this.",11,"Yes","No","No",NA,"Killer Shrimp","Arthropod","OISC, NOAA","No","No","No","Yes","Yes","No","Yes","Yes",NA
"110","Knotgrass","Paspalum distichum","Poaceae",1,"A common weed of rice paddies and fields in tropical and sub temperate areas, this grass has poor growth below 10 degrees, and will not sprout below that temperature as well. Unlikely to have strong invasiveness in NS",2,"This species is known to colonize high value habitat, and is indiscriminate in doing so. While unlikely to occur along NS waterways, it does have potential.",2,"This species can outcompete others for space, and is known to harbour some pests of other forage crops. Can cause issues with monoculture.",2,"This species can alter water flow and can outcompete native species causing issues with monoculture. Also known to increase mosquito populations than more open vegetation, which can then indirectly increase disease risk.",7,"Yes","Yes","Yes","A CSAS question around the possibilty of sub-temperate weeds of marshes and swamps might be prudent. There are several on the list.","Knotgrass","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"111","Kutum","Rutilus frisii","Cyprinidae",1,"No resources were located that suggested that this species was 'invasivs' or 'exotic' or even likely to be introduced outside its native range (where it is endangered). FishBase does have a species page noting the species wide environmental tolerances to freshwater and saline (diadromous species) and the migratory behaviour of the species.",1,"See previous section. Seems unlikely that this species would be introduced.",1,"No adverse ecosystem impacts were noted on FishBase.",1,"same as before.",4,"No","No","No","This species is listed under Part 2, but it is not a prioritiy species given how restricted it is.","Kutum","Fish","AISR, FB","No","Yes","No","No","No","No","uncertain","uncertain",NA
"112","Lake Trout","Salvelinus namaycush","Salmonidae",3,"Fast swimming, able to travel many kms",3,"prefers to live in cold deep lakes",3,"Lake Trout often lead to the demise of other trout species where it is introduced. Lake trout have caused localized extinctions of cuthrout  and bull trout populations throughout the United States.",2,"Lake trout can impact food webs but removals of the species have resulted in restoration of native ecosystem structure in locations where this has been attempted.",11,"yes","no","no",NA,"Lake Trout","Fish",NA,"No","No","Yes","No","Yes","No","Yes","Yes",NA
"113","Largemouth bass","Micropterus salmoides","Centrarchidae",3,"Research of natal and intergenerational dispersal of M. salmoides is estimated between 7.7-8.3 km from natal tributary, which is greater than estimated for Smallmouth bass (M. dolomieu) that has already become widely distributed throughout Nova Scotia (both through illegal angler introductions and natural dispersals) (Humston et al. 2021). Previous DFO risk assessments noted that some Canadian introduced populations, in southern British Columbia, are thought to have naturally spread.  from other illegally introduced populations from the USA (Brown et al. 2009). Thus, confirming that M. salmoides is able to naturally disperse over relatively large geographic areas (large for a lotic, residental fish).",3,"M. salmoidea has become widely established through all of the U.S. (expect Alaska), southern Canada, parts of Western Europe, South Africa, and Eastern and Central Aisa (Brown et al. 2009; Fuller et al. 2023; iNaturalist).  Fuller et al. (2023) noted that M. salmoidea introductions in the U.S. have resulted in reduced abundance and diversity of native prey species, some of which species were potential driven to extinction.",3,"Since there are no similar fish predators native to Nova Scotia, it is likely that M. salmoidea introduction would lead to local extinctions and/or significant declines in abundance and diversity of the region's native dace, stickleback, and other small-bodied species (Fuller et al. 2023). Furthermore, M. salmoidea introduction may be a tipping point for already vulnerable species including Lake Utopia rainbow smelt, Atlantic whitefish, and Atlantic salmon (all DUs).",2,"More research is needed to determine how M salmoidea introduction would impact Nova Scotian habitat, but it is my professional opinion that there would be significant impacts on food web structure.",11,"Yes","No","Yes","This species could be included in a future detailed-level risk analysis to determine where suitable habitat exists, overlaps with SAR and other vulnerable species, socio-economic impacts. Specifically, I'm curious about how species such as M. salmoidea (and others) that have no native equivalent in NS would impact the native ecosystems here. Would these effects be reversible?","Largemouth bass","Fish","AISR","No","No","Yes","No","No","No","Yes","Yes",NA
"114","Longear sunfish","Lepomis megalotis","Centrarchidae",2,"There is not much literature available on this species. However, Previous reports can confirm that the species is/was present in southern Ontario (Gruchy & Scott 1966). Others report that the species' distribution is restricted or scarece (Cornell University n.d.) or that the species distribution is wide spread (e.g. from southern QC to northern Mexico) but also restricted (Fuller & Cannister 2023; Texas Parks & Wildlife n.d.).",1,"Based on the limited information available, it seems that L. megalotis is restricted to areas were introduced and does not become widely established after introduction. Fuller & Cannister (2023) hypothesis that the species may not widely spread due to avoidance of fast-flwoing water.",1,"No adervse impacts to native species have been reported. Notably, the literature on this topic is limited.",1,"This is generally unknown. Nova Scotia does not have many native sunfish species. Therefore, this species could be a potential threat depending on whether it can establish, similar native species, position in trophic structures, etc.",5,"No","No","Yes","Due to the species low rate of introduction, this species is categorized as low priority. However, the lack of information around this species may indicate gaps in our management plans that could lead to larger introductions and issues.","Longear sunfish","Fish","AISR, USGS","No","No","Yes","No","No","No","Yes","Yes",NA
"115","Longnose gar","Lepisosteus osseus","Lepisosteidae",2,"Based on the limited species distribution maps available, it seems that L. osseus occupies a range from the St. Lawerence river to Florida (iNaturalist; Goddard 2021). There were no data available on the annual rate of spread by this species, but the Floirda Museum of Natural History (Goddard 2021) noted that the species routinely migirates up streams for spawning.",2,"It is unclear if L. osseus is currently introduced and established outside its native range. However, the species may compete with Atlantic salmon for spawning habitat. Furthermore, this species can inhabitat areas of low DO and moderate (brackish) salinity concentration (Goddard 2021).",2,"The impacts of L. osseus impacts on vulnerable species or areas of conservation value is largely under reported. Therefore, further research would be needed to properly assess this. However, based on the information available from Goddard (2021) the species may compete with Atlantic salmon for spawning habitat and Brown bullhead as a prey species.",2,"Due to the species unqiue physicology, it is expected that there would be some impacts to food web structure but those impacts may be local.",8,"Yes","No","Yes","As this species is native in multiple Canadian provinces, this species should be prioritized for a detailed assessment todetermine if vectors exist to introduce this species (e.g. it is available through aquarium trade), where suitable habiatt exists, and expected impacts on native ecosystems.","Longnose gar","Fish","AISR","No","No","Yes","No","No","No","uncertain","uncertain",NA
"116","Long-snouted prawn","Palaemon longirostris","Palaemonidae",2,"P. longirostris appears to have spread over to the Crimean coasts as a result of migration through the straits from the Mediterranean Sea, where it is common. Such migrations are among the most common vectors of alien species entry to the Black Sea. It is conceivable that the planktonic larvae and juvenile shrimp penetrated to the Black Sea with ballast waters, inasmuch as the shrimp was found in the immediate proximity to the Sevastopol port area.",3,"P. longirostris is a coastal species that occurs from the water’s edge to the depth of 17 m. Some literature sources point out that it inhabits the shallow-depth limans, featuring a wide range of salinity, and prefers brackish waters of the estuarine ecotones (Van Den Brink and van Der Velde, 1986). According to other sources, it lives in fresh water, but migrates to brackish waters of deltas to spawn (Grabowski, 2006). Its development occurs in estuarine zones of the river drainage systems throughout all larval stages. Seven zoaea stages have been described in the species.",0,"d.d.",0,"d.d.",5,"No","No","Yes","considered invasive in the Black Sea","Long-snouted prawn","Arthropod",NA,"No","Yes","Yes","No","No","No","Yes","Yes",NA
"117","Mannagrass","Glyceria declinata","Poaceae",1,"Plants are often mistaken for other rye grasses, and this can sometimes lead to further range expansions. A lot of conversation about their impacts on vernal pools which is beyond the purview of DFO and this study.",1,"This species could be managed withboth mechanical removal and herbicides if there were indications that it was encroaching on areas of high value. As a terrestrial plant that just tolerates flooding, it is unlikely to affect aquatic environments in any long lasting capacity. THis particular species is noted for having small seeds that could be transported via waterfowl.",1,"Can sometimes outcompete natives, but usually only because the environmental conditions have changed to beenfit the invader (i.e. area becomes very wet for a short period of time).",1,"Can compromise the integrity of small pools and threaten endemic and endangered plants - but only uynder certain ideal conditions.",4,"No","No","No",NA,"Mannagrass","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"118","Marbled crayfish","Procambarus virginalis","Cambaridae",3,"P. virginalis is parthenogenetic and, therefore, there is a high risk of any P. virginalis introduction to result in an established populaiton. Additionally, P. virginalis is known for wondering and spread between ponds, lakes, etc and other non-connected waterbodies through overland dispersal via walking (U.S. Fish & Wildlife Service 2018).",3,"Although P. virginalis is most likely to be introduced to ponds or lakes, especially in areas close to human populatio centers, the species is able to inhabitat a variety of freshwater habitats. There is some uncertainty around the species  thermal tolerance, some sources claim that the species requires above 14 degrees C for reproduction, but other sources claim that P. virginalis was able to survive in cold water (0-2 degree C) and under ice (U.S. Fish & Wildlife Service 2018). Due to the species only known vector being the pet and aquarium trade, the species is likely to be introdcued to human-made structures (e.g. ponds) and/or human-population centers. However, the species is likely able to spread to high value habitat once introduced.",2,"There is a lack of information on P. virginalis impacts on native species. Anecdotal observations of the species in Madagascar suggest that native fish species populations are quickly decreasing abundance. Additionally, some plant species such as rice paddies, may be impacted by P. virginalis. Lastly, P. virginalis could compete with native crayfish species for food or space and could transfer diseases, such as crayfish plague, to native species (U.S. Fish & Wildlife Service 2018).",3,"If P. virginalis is able to produce dense populations (which may be controled by water temperature thresholds), it is likely that the species will impact ecosystem functioning through shifts in food web structure, increases to inter-species competition, disease transmission, and alterations to physical habitat structure (U.S. Fish & Wildlife Service 2018).",11,"Yes","No","Yes","What are the thermal thresholds for marbled crayfish? Can the species reproduce in the Maritimes?","Marbled crayfish","Arthropod","OISC, NOAA, MS","Yes","No","No","No","No","No","uncertain","uncertain",NA
"119","Mayan cichlid","Mayaheros urophthalmus","Cichlidae",0,"Tropical species",0,"Tropical species",0,"Unlikely to impact species in the Maritimes.",0,"see previous response",0,"No","No","No","unnecessary","Mayan cichlid","Fish","USFW","Yes","No","No","No","No","No","No","No",NA
"120","Mountain hemlock-parsley","Seseli libanotis","Apiaceae",2,"Garden Trade. Invasiveness mentioned in literature but not well documented.",1,"Grassy and shrubby slopes, forest edges, lowlands to subalpine. Does not appear to occupy aquatic or riparian habitat and prefers terrestrial.",0,"D.D.",0,"D.D.",3,"No","No","No","Insufficient data on species and ecosystem impacts, but does not appear to be of concern as the species does not exhibit preference for aquatic or riparian habitat.","Mountain hemlock-parsley","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"121","Mozambique tilapia","Oreochromis mossambicus","Cichlidae",1,"Unlikely to become established in Canada due to temperature tolerance limits being ~11 degrees C (Nico & Neilson 2023). However, this species should be re-evaluated in the future.",1,"Unable to become widely established in Canada due to temeprature limits. However, the species could be established in artifically heated ponds or in brackish water that remains ~11 degrees C.",1,"In some southern US states, this species is linked with declines in native fish species (Nico & Neilson 2023).",3,"If established, this species will alter aquatic vegetation, aquatic and emergent insect communities, and benthic interactions (Nico & Neilson 2023).",6,"No","No","Yes","This species' suitable habitat range should be predicted under climate change coniditions to determine if the species could become established in southern Canada.","Mozambique tilapia","Fish","USFW","Yes","Yes","Yes","No","No","Yes","Yes","Yes",NA
"122","Mud bithynid","Bithynia tentaculata","Bithyniidae",3,"B. tentaculata could be introduced to Nova Scotia through the pet and aquairum trade or unclean boats and fishing gear coming from Ontario to Eastern Canada. This species may further spread via hitch-hiking on aquatic macrophytes (especially during the summer), natural spread (species has a high fecundity), or being transported by waterfowl (Kipp et al. 2023).",2,"In Canada, this species seems restricted to the Great Lakes. However, the B. tentaculata seems similar in introduction vector types and habitat preferrences as C. chinensis and thus, may occupy similar locations if it was introduced to NS and/or locations with suitable pH (6.6-8.4) (Kipp et al. 2023).",2,"B. tentaculata is likely to impact native ecosystems through increased inter-mollusc competition for food resources and [Ca] for shell growth. B. tentaculata typical has a faster growth rate than native snail species (Kipp et al. 2023). Furthermore, B. tentaculata host multiple parasites that could have significant impact on Maritime fuana (Kipp et al. 2023).",2,"B. tentaculata may alter food web structures through a bottom-up mechanism by increased comsumption of algae (both benthic and suspended). Furthermore, there is evidence that suggests that B. tentaculata presence decreased abundances of native snail species where introduced and that B. tentaculata often co-occurs with other high profile invaders such as zebra mussel and Eurasian water milfoil, which exaggerated ecosystem impacts further (Kipp et al. 2023).",9,"Yes","No","Yes","A risk assessment for snails from the aquarium trade was already conducted and did include B. tentaculata (Schroeder et al. 2014). However, a systematic review would be more informative on the ecosystem impacts of this species similar to that done for C. chinensis (Kingsbury et al. 2020).","Mud bithynid","Mollusc","AISR, USGS","No","No","No","Yes","Yes","No","Yes","Yes",NA
"123","Mud sunfish","Acantharchus pomotis","Centrarchidae",2,"Except for populations intentally introduced to the Maritimes, it is unlikely that this speces will spread naturally. A. pomotis is likely to find suitable habitat in Nova Scotia, especially in south-Nova where pH is lower, where wetlands and extensive vegatation exist, or where cedar forest exist (Pardue 1993). However, A. pomotis is considered 'Threatened' in its native range and there seems to be few vectors available that would lead to the species initial introduction (i.e. not a popular rec fish, not popular for aquariums or water gardens, and not a bi-fouling species) (New York State Department of Environmental Conservation, n.d.). Some others note the species as extirpated in Pennsylvania and New York; 'vulnerable' in Delaware, Maryland, Virginia, Georgia, and Florida; and 'stable' in New Jersey and North Carolina (Rider & Schell 2012).",1,"Little is known about this species (only 10 references available on Web of Science), but it would seem that this species is difficult to locate within its native range and has not been introduced outside that.",1,"No literature was located in this assessment that indicated A. pomotis has negative ecosystem impacts, likely due to the species being constrained to native ranges.",1,"No literature was located in this assessment that indicated ecosystem alterations caused by A. pomotis.",5,"No","No","No",NA,"Mud sunfish","Fish",NA,"No","No","Yes","No","No","No","Yes","Yes",NA
"124","Mudmat","Glossostigma cleistanthum","Scrophulariaceae",2,"Very fast rate of growth, likely to survive cold winters. Initial introduction of mudmat probably occurred by aquarium release and its subsequent spread may have been mediated by both human activities, such as recreational boating, and by natural means, such as hitchhiking on migrating geese or other waterfowl. Mudmat has been shown to be able to invade undisturbed, natural environments. It has been reported in Connecticut, Rhode Island, Pennsylvania and New Jersey.
",3,"Grows submerged and emerged along sandy to muddy shorelines, shallow water or wet silt and mud of lakes and rivers, including fresh-tidal reaches. Favors oligotrophic conditions - low pH, alkalinity, conductivity, phosphorous and where water clarity is high, it will grow up to 4 meters deep.",2,"Once introduced, G. cleistanthum spreads rapidly to cover prime littoral habitat. Once mudmat is established it can form dense monotypic stands which can be made up of 10,000 to 25,000 individual plants per square meter. These mats form thick carpets, covering the lake bottom from the shoreline to depths often greater than 6.5 ft (2 m). Because of its small size, this invader is not considered a large threat to recreational activites; however, the monoculture formed by this species reduces biodiversity, making it an ecological threat to native plant and animal communities.",2,"Although lacking data on ecological impacts, it is suspected that mudmat reduces biodiversity and decreases water quality",9,"Yes","No","Yes","Would benefit from further science advice and research on the ecological impacts of G. cleistanthum on ecosystem function and native species.","Mudmat","Plant",NA,"No","No","No","No","Yes","Yes","uncertain","Yes",NA
"125","Mudwort","Limosella aquatica","Scrophulariaceae",1,"This species is generally not considered invasive in N America, and it is also restricted to a very specialized and very limited habitat type, specifically ephemeral pools that develop in shallow depressions. It is also listed on the IUCN red list of threatened species.",1,"With the habitat niche of this species limited to very shallow temporary pools, it is unlikely it will have the ability to colonize areas of high value",1,"Very little is said about the potential impacts of this species on native species. It is a small plant that does not have any particular attributes that one would consider as adverse.",1,"No known ecosystem impacts",4,"No","No","No",NA,"Mudwort","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"126","Muskellunge","Esox masquinongy","Esocidae",3,"This species is able to spread rapidly throughout connected river systems with home ranges varied from <25km to 100 km (Curry et al. 2007).",2,"This species is established in the upper reaches of the St. John's River, NB from the head waters in QC to Fredericton, NB (Andrews et al. 2018). The St. John's River is an important river system for yellow lampmussel, brook floater mussel, American eel, alewife, and Atlantic salmon.",2,"Predation studies in Atlantic Canada have confirmed that some species that are regional important to Nova Scotia (i.e. White perch, Yellow perch, American shad, American eel, and sometimes Atlantic salmon) are prey species of E. masquinongy (Andrew et al. 2018; Curry et al. 2007). It is expected that E. masquinongy would have impacts similar to Northern pike, which could have some small positives (predation of and competition for habitat/food resources with chain pickerel and smallmouth bass) but general the introduction would lead to declines in small-bodied fish populations.",2,"No studies suggested that E. masquinongy would directly impact ecosystem functioning, but impacts should be expected given the significant impacts of other Esox species on the Maritimes (i.e. chain pickerel).",9,"Yes","Maybe","Yes","Unsure on the species full expected impacts. Both predation studies (Andrews et al 2018 and Curry et al 2007) suggested that muskies don't target Atlantic salmon but is this because the muskies are confined to above the Fredericton dam and Atlantic salmon are below? Or isAtlantic salmon's representation in muskie diet porportional to population levels (i.e. salmon is a rare species)?","Muskellunge","Fish",NA,"No","No","Yes","No","No","No","Yes","Yes",NA
"127","NA","Potamothrix bavaricus","Naididae",2,"According to Milbrink (1999), a whole set of species of the genus Potamothrix have a great dispersal capacity and can be easily spread on the feathers of water birds. Because the region where these investigations were carried out is the nesting area of many bird species, one may expect an increase in the number of water habitats colonised by P. bavaricus from year to year.",3,"P. bavaricus has been recorded in various natural lakes and ponds (Pascar-Gluzman & Dimentman 1984; Real & Prat 1991; Yildiz & Balik 2005), lower river courses (Timm, Seire, & Pall 2001) and small streams (Löhlein & Böttger 1996).",1,"Brinkhurst and Jamieson (1971) and Timm (1980) concluded that P. bavaricus, being a euryhaline species, is a very successful competitor in a wide variety of water types.",0,"d.d.",6,"No","No","Yes",NA,"NA","Worm",NA,"Yes","No","No","No","Yes","No","Yes","Yes",NA
"128","NA","Blyxa leiosperma","Hydrocharitaceae",0,"d.d.",0,"d.d.",0,"d.d.",0,"d.d.",0,"No","No","No","I think the spelling of this name could be incorrect.","NA","Plant","USFW","No","No","No","Yes","No","No","uncertain","uncertain",NA
"129","Naked-stemmed St. John's-wort","Hypericum gymnanthum","Clusiaceae",1,"Introduced intentionally through garden trade. Natural dispersal of seeds via birds. Data on invasiveness lacking, however it is suspected as this is a common trait in Hypericum species.",2,"moist sandy savannas, low sandy areas along rivers, marshes, and edges of ponds",1,"Impacts on native species not discussed in literature, but mention was made of hybridizaiton with native hypericum species. The foliage of many Hypericum spp. is somewhat toxic to mammalian herbivores, but there is little specific information in this regard for Clasping-Leaved St. John's Wort.",0,"D.D.",4,"No","No","Yes","Insufficient data on ecosystem impacts and species impacts. Would benefit from further science advice","Naked-stemmed St. John's-wort","Plant",NA,"No","No","No","No","No","uncertain","Yes","uncertain",NA
"130","Nettleleaf nightshade","Solanum chenopodioides","Solanaceae",1,"The native range of this species is Bolivia to Brazil and Argentina and it is naturalized in North America and New Zealand. Dispersal and invasiveness are undocumented.",3,"Coastal and subcoastal areas. Grows in gullies and on river banks.",0,"D.D.",0,"D.D.",4,"No","No","Yes","Insufficient data on ecosystem impacts and species impacts. Would benefit from further science advice as it seems like a potential candidate for listing","Nettleleaf nightshade","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"131","New Zealand mud snail","Potamopyrgus antipodarum","Hydrobiidae",2,"The dispersal capabilities of this species are somewhat unclear, Alonso (2013) notes that the species can naturally spread via active (crawling, up to 60m in 3 months) and passive (hitchhiking on floating plants, dispersal via water currents, transferred in the gut of fish such as rainbow trout) metrics, but the range of those transfer mechanisms is unclear. P. antipodarum introductions are most often associated with ballast water and fouling on water craft either through water tanks or on aquatic plants (Alonso 2013).",3,"P. antipodarum has a wide range of environmental tolerance and can be found in freshwater, brackish, and slightly marine environments including streams, rivers, lakes, reservoirs, channels, isolated coastal lakes, shallow lakes, estuaries, and open seas (Alonso 2013). Baed on the primary vectors of introduction, it is likely that P. antipodarum would firts be introduced to densely human populated areas (e.g. cities and towns) or human-made structures (e.g. garden ponds), but the species would be able to spread from these initial points of introduction, especially via fouling on water craft, equipment, or gear. Notably, the species survival may be impacted by water temperature as it is unlikely to survive sub-zero water temperature if sustained for multiple days (Alonso 2013).",2,"P. antipodarum may impact primary producers such as alage through consumption, which is relatively high (194 g of ash free dry mass/m2/year) when compared to other stream invertebrates (Alonso 2013). Additionally, P. antipodarum has a high fecundity that could lead to crowding out and increased inter-species competition for food, calcium, shelter, etc with other native freshwtaer mollusks (Alonso 2013). Lastly, due to P. antipodarum's ability to survive ingestion by fish predators, any fish that consumes high amounts of this snail may loss weight since the nurtients of the prey are not absorbed (Alonso 2013).",3,"P. antipodarum can reach very high snail densities (e.g. 500,000 snails/ m squared) that when considered with the species high feeding rates can alter nurtient cycling. The species can also affect nitrogen fixation since it feed predominantly on green algae, which is a nitrogen fixing aglae (Alonso 2013).",10,"Yes","Yes","Yes","Is this snail likely to foul aquarium plants? If so, are there ways to treat imported plants to eradicate the snails before the plants are sold?","New Zealand mud snail","Mollusc","AISR, USGS","No","No","No","Yes","Yes","No","Yes","Yes",NA
"132","Nile tiapia","Oreochromis niloticus","Cichlidae",1,"Despite the species reportedly being introduced or cultured in over 50 countries, O. niloticus is unlikely able to survive Canadian winters but may be abke to in the future with general global warming (Bonham 2022).",2,"Species is known to sometime establish in high-value conservation habitat with specific examples of Nevada and Arizona, USA (Nico et al. 2023). However, species is unlikely able to establish in Canada and overwinter here.",3,"Species is known to greatly impact invaded habitats through parasite transmission (Bonham 2022), increased inter-species competition with lower trophic level and centrarchid fish species, and has lead to population declines of endangered Moapa dace and Moapa white river springfish (Nico et al. 2023).",2,"Although the sopecific connection is unclear, O. niloticus is often associated with severe environmental changes in reservoirs and large-scale irrigation systems (Bonham 2022).",8,"Yes","No","Yes","If able to become established, this species is expected to have negative ecosystem impacts. However, it is unlikely that O. niloticus could establish in Canada under current conditions but future predicted conditions should be explored further.","Nile tiapia","Fish","USFW","No","Yes","Yes","No","No","No","uncertain","uncertain",NA
"133","Northern pike","Esox lucius","Esocidae",3,"Species introductions were primarily attributed to intentional stocking as a sport fishing, which is illegal in Atlantic Canada. However, similar species (e.g. walleye, chain pickerel) have been introduced through suspected sport fish stocking. Once introduced, the species is able to naturally disperse greater than 1 km per year, evident from similar pike species dispersals in Atlantic Canada and the large invasive range of this species (Fuller & Neilson 2024; Godard 2012).",3,"E. lucius perfers shall, moderately productive, vegetative waters and are commonly found in lakes but may be present in rivers, canals, and backwaters and can enter brackish environments (Godard 2012). The species has a wide thermal and salinity tolerance, which equates to it likely able to find suitable habitat within numerous habitats including areas with dense human populatiosn and more natural areas with high conservation concern or recreational fihsing value. E. lucius has an extensive history of invading areas inhabitated by vulnerable, and sometime protected, fish species (Fuller & Neilson 2024).",3,"E. lucius has contributed to the decline of multiple freshwater fish including redbelly dace, finescale dace, fathead minnow, brassy minnow, westslope cutthroat trout, bull trout, threespine stickleback, and Atlantic salmon. Also, E. lucius may hyderidize with muskellunge and chain pickerel (Fuller & Neilson 2024). Therfeore, the impacts of E. lucius to native fish populations is likely to impacting equal to or greater than 80% of the native fish species due to the direct and indirect impacts of E. lucius at multiple trophic levels.",3,"The overall impacts of E. lucius to prementantly impact ecosystem functioning is likely dependent on how long the species is left in the invaded system. However, if left unattended, it is likely that the impacts (directly or indirectly) to the food web sturcture of invaded ecosystems will lead to reductions in prey species and changes to native species behaviours (Fuller & Neilson 2024). Additionally, as Fuller & Neilson (2024) noted, some sunfish species such as pumpkin seed may escape predation by E. lucius. Thus, the coupling of decreased predation on pumpkin seed with increased pressure on native fish species, may provide a competitive advantage to pumpkinseed to become further established within the Maritimes.",12,"Yes","No","No","This species seems clearly problematic. Therefore, further analysis may not be needed.","Northern pike","Fish","AISR, USGS","No","No","Yes","No","No","No","Yes","Yes",NA
"134","Northern snakehead","Channa argus","Channidae",3,"C. argus is primarily introduced via live food and pet/aquarium markets. Although the exact range expansion of the species per year is not noted, we ascern that based on the species' high fecundity, broad environmental tolerances, and presence within river systems in the US, it is likely that the speceis will spread >1km/year (Fuller et al. 2024).",3,"C. argus has a wide range of environmental tolerances and could even survive degarded envrionments due to the species unique ability to breath air (Fuller et al. 2024). Although, the prevailance of the specie sin aquarium and live food trade mean that it would more likely be introduced to more urbanized areas but rural communities and garden pond owners should also be considered. During high flood periods, the species is able to escape ponds and use connected systems to access a variety of habitats. Of additional concern, juvenile C. argus can migrate over land and survive up to 4 days out of water (Fuller et al. 2024).",3,"Juvenile C. argus directly predate zooplantkon, small insects, and crustaceans (Fuller et al. 2024). The species experiences rapid growth and quickly move to predating small fish and may even consume fish up to 33% of its own body length (Fuller et al. 2024). C. argus is a voracious predator with adult C. argus having as much as 97% of their diet made up of other fish (Fuller et al. 2024). Therefore, C. argus directly impacts multiple trohpic levels of native species, especially native fish.",3,"Due to C. argus wide breadth of predation on various taxa, the high fecundity of the species potentially resulting in high C. argus densities, and the competitive advantage in degarded systems, it is likely that C. argus would alter food webs, native species behaviours, and displace native fish species (Fuller et al. 2024)",12,"Yes","No","Yes","Is this species still available for purchase in pet/aquarium/live food trade?","Northern snakehead","Fish","MS, AISR, USGS","No","Yes","Yes","No","No","No","Yes","Yes",NA
"135","Nuttall's alkali grass","Puccinellia nuttalliana","Poaceae",1,"Native to areas of US and Canada, has very specific habitat requirements and few pathways of introduction",2,"Nuttall's Alkaligrass is a native grass of wet, saline grasslands, found in Minnesota's western counties where it reaches the eastern edge of its natural range. While the dominant species occurs over a broad geographic range, it has quite specific habitat needs, requiring moist soils of intermediate salinity in seasonally wet meadow habitats. Site topography is generally flat with poor drainage.",0,"d.d.",0,"d.d.",3,"No","No","No",NA,"Nuttall's alkali grass","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"136","Opposite-leaved saltwort","Salsola soda","Amaranthaceae",1,"seeds have low germination rate, don't do well in wet soil",1,"Suitable for: light (sandy) and medium (loamy) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline soils. It cannot grow in the shade. It prefers dry or moist soil. The plant can tolerate maritime exposure. - likely not able to grow in wet soil in the riparian zone.",0,"d.d.",0,"d.d.",2,"No","No","No","terrestrial plant","Opposite-leaved saltwort","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes","terrestrial plant"
"137","Opposum Shrimp","Mysis relicta","Mysidae",2,"Mysis dispersal is passive, via river connections to downstream lakes, or facilitated by interbasin water transfers. As with many other aquatic invasive species (AIS; Johnson et al. 2001; Wittmann and Ariani 2009), Mysis could also be transferred overland to unconnected waters by recreational boaters. Despite their limited dispersal capabilities, the history of Mysis introductions and subsequent invasions demonstrates the high vagility of this species.",1,"Mysis spp. have already colonized many areas of high conservation value, but care could be taken not to introduce them into areas of high value. They are often introduced as potential food soruces for sport fish, but this can often backfire.",2,"Mysis-induced changes to the biomass and composition of the zooplankton community and disturbance of nutrient dynamics have altered primary production of recipient systems. This particular mysis species has been shown to persist in some lakes stocked up to 50 years ago, while it has dissapeared from others.",2,"This genus has the potential to disrupt ecosystems and food webs as a keystone species. This partoicular species is not as aggressive as some others, and has been widely already introduced acorss the country.",7,"Yes","No","No","No need for studying this species, well studied already.","Opposum Shrimp","Arthropod",NA,"Yes","No","No","No","Yes","No","Yes","Yes",NA
